Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_26 06:49:02.261,0,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:26.980,986,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:37.206,2,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:40.392,4,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:43.227,6,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:49.751,8,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:51.654,10,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:53.986,12,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:55.926,14,O,1,2,FFE0,0,ERR,none
21_04_26 06:49:58.190,16,O,1,2,FFE0,0,ERR,none
21_04_26 06:50:00.552,18,O,1,2,FFE0,0,ERR,none
21_04_26 06:50:03.687,20,O,1,2,FFE0,0,ERR,none
21_04_26 06:50:06.158,22,O,1,2,FFE0,0,ERR,none
21_04_26 06:51:28.491,49,I,2,1,4216,66,none,2d14541501158000000000001e000000190000000000030003000300030000200800e01e7c580000d462866058040908018f1d196d0ed5628660f60801001900fc1e
21_04_26 06:51:28.491,50,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:51:59.499,57,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:28.540,69,I,2,1,4216,66,none,e21075116e1206025302fc017c009000c00100000000040004000400040000300800a81e945800001063866058040a0a9d971d196d0e1163866032090100ad01b81e
21_04_26 06:52:28.540,70,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:58.582,84,I,2,1,4216,66,none,a9132d147c14db00330100005200a000190000000000040004000400040000300800dc1e9e5800002e63866058040c0a9b951e196d0e2f638660500901001900f81e
21_04_26 06:52:58.582,85,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:28.609,98,I,2,1,4216,66,none,af1148140e15f5016d0000005b00a4001b0000000000040004000400040000300800dc1ea85800004c63866058040b0a01941d196d0e4d6386606e0901001900f81e
21_04_26 06:53:28.609,99,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:58.635,119,I,2,1,4216,66,none,43116c124015e7019f0000005b00a500190000000000040004000400040000300800d81eb25800006a63866058040c0a01981d196d0e6b6386608c0901001900f81e
21_04_26 06:53:58.635,120,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:54:28.672,138,I,2,1,4216,66,none,7911e014fe146301db0000005600a2001a0000000000050004000400040000300800dc1ebc5800008863866058040c0a01951e196d0e89638660aa0901001900f81e
21_04_26 06:54:28.672,139,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:55:29.437,191,I,2,1,4216,66,none,6610830f950fa100f507f9001c01a500d60100000000050005000500050000300800601ed0580000c46386605804100a9e921e196d0ec5638660e60901007e01cc1e
21_04_26 06:55:29.437,192,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:55:58.761,198,I,2,1,4216,66,none,df115c146b147101d10000005600a500190000000000050005000500050000300800dc1eda580000e263866058040f0b01941e196d0ee3638660040a01001900f81e
21_04_26 06:55:58.761,199,I,2,1,4217,81,none,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:57:57.466,24,O,1,2,FFE0,0,ERR,none
21_04_26 06:57:59.585,243,O,1,2,FFE0,0,ERR,none
21_04_26 06:58:13.481,245,O,1,2,FFE0,0,ERR,none
21_04_26 06:58:15.527,247,O,1,2,FFE0,0,ERR,none
21_04_26 06:58:18.337,249,O,1,2,FFE0,0,ERR,none
21_04_26 06:58:21.985,251,O,1,2,FFE0,0,ERR,none
21_04_26 06:58:58.900,254,O,1,2,FFE0,0,ERR,none
21_04_26 06:59:00.751,278,O,1,2,FFE0,0,ERR,none
21_04_26 06:59:49.869,280,O,1,2,FFE0,0,ERR,none
21_04_26 06:59:52.332,308,O,1,2,FFE0,0,ERR,none
21_04_26 06:59:55.878,310,O,1,2,FFE0,0,ERR,none
